Name,Rating,Date,Review
Vivi Novitasari,1/5,sebulan lalu di,"Saya bberapa hari mengantar teman saya menginap disini dan dilayani dengan sangat tidak terhormat, kami kecewa receptionist nya berbicara lantur tidak jelas dengan nada yang tidak mengenakan serta saya mencium bau alkohol , saya rasa selama …"
Rollowe Sembiring,1/5,4 bulan lalu di,AC Kamar tidak dingin. Makanan yg dihidangkan saat itu Ikan Dori tapi bau dan tidak layak konsumsi. Nasi gorengnya juga keras.
watchdoctor_indonesia,1/5,8 bulan lalu di,"parkir mobil susah, ada slot lobby tapi ditutup kerucut. Disuruh parkir basement yg sempit. Sering penuh dan disarankan security valet. Tidak semua orang nyaman kendaraannya di valet terutama jika membawa barang2 yang tidak bisa di bawa ke …"
muhammad arzha,1/5,sebulan lalu di,hotel terburuk yg pernah saya temui dengan pelayanan biasa aja
Terus Enak TV,1/5,setahun lalu di,"turun makan jam 7, ehh cuma kebagian bubur, soto, nasi putih, nasi goreng, sama omelet, ini hotel ngakunya bintang tiga lhoo, pelayanan kok sekelas hotel melatii. …"
Fransisca Sugiarto,1/5,setahun lalu di,"Pesen 3 kmr lewat tr*v*l*k*, 1kmr yg twin bed, 2 kmr yg bed king size. Hrg kingsize lebih mahal 50rb, tapi yg saya dpt smua kmr twin bed. Taunya pas mau tidur bed bagian tgh agak keras. Setelah dibuka tryt smua kmr dikasih 2 single bed yg digabung jadi 1 doang 👎. Sprei & kursi jg ada noda, lantai kamar tidak rata. …"
afian mangoen,1/5,setahun lalu di,"booking via ag*d* 2 hari sebelum kedatangan, booking dikonfirmasi dengan baik, tiba-tiba sehari sebelum kedatangan di info oleh pihak ag*d* kalau pihak hotel menyatakan hotel ternyata fully booked dan saya diberikan hotel pengganti oleh …"
Faisal Ramadhan Budiono,1/5,setahun lalu di,"Gua digigit tungau dimari jirr.
Kemaren di kamar 111, tiap tidur gua gatel.
1 out of million deh. Gak recommended. …"
Firdian,1/5,4 tahun lalu di,"Sayang hotelnya merampas hak pengguna jalan kaki.
Pedestrian digunakan untuk parkir mobil tamu hotel.
Kok bisa ya Amdalnya keluar krn tidak mempunyai parkir mobil dan dilihat dari …"
Lodewyk Axel,1/5,5 tahun lalu di,"Nginap saat sedang hotelnya sedang renovasi sangat tidak nyaman. Renovasi dilakukan tanpa batas waktu. Tidur malam bisa terbangun 2x (jam 1 dan 3 pagi), hanya gara2 bunyi ketok2 pengerjaan lantai.. Ampun deh... Kappoookk.."
Sri Suratno,1/5,setahun lalu di,"Sekuriti tidak mengerti tugasnya, urusan parkir buruk; tamu dibiarkan cari tempat parkir sendiri"
Rachmadita Kusumastiti,1/5,4 tahun lalu di,"Renovasinya sangat menganggu, tinggal di lantai yg direnovasi rasanya berdebu sampai ke kamar. Cukup sedih karena ekspektasi istirahat dengan tenang gugur seketika."
burhanundin Y U,1/5,setahun lalu di,"Ac bocor, kamar mandi mampet, kulkasnya mati, dan bantalnya uda kempes"
Dyar Ludruk,1/5,4 tahun lalu di,Terlalu ketat untuk satpamnya.. pelayanan kurang bagus.. baru kali ini saya suruh nunggu diluar hotel.. sangat buruk bagi saya untuk hotel ini.. terima kasih
Fery W,1/5,2 tahun lalu di,"Jam 9 malam tlp, tanya harga 450k, pasa datang jam 01.00, harga jd 500k.."
FADILLAH KIROM,1/5,3 tahun lalu di,Makannya kurang enak dan dianter dikamar.  Not recommended
Renati Dina,1/5,5 tahun lalu di,security yang tidak ramah tidak dapat menghargai orang.. ! gapunya sopan santun
Dudung R,1/5,5 tahun lalu di,Belum waktunya cek-out listrik sdh dimatikan 😥 …
youvanii,1/5,setahun lalu di,kurang memuaskan
Ratih S_ GriyaArtaTriwedari,1/5,2 tahun lalu di,Pelayanan resepsionis perlu ditingkatkan
yusuf oktofani,1/5,6 tahun lalu di,Kasur keras
