Name,Rating,Date,Review,Sentiment,Processed_Review
Vivi Novitasari,1,sebulan lalu di,"Saya bberapa hari mengantar teman saya menginap disini dan dilayani dengan sangat tidak terhormat, kami kecewa receptionist nya berbicara lantur tidak jelas dengan nada yang tidak mengenakan serta saya mencium bau alkohol , saya rasa selama â¦",-1,bberapa antar teman inap layan hormat kecewa receptionist nya bicara lantur nada kena cium bau alkohol 
Rollowe Sembiring,1,4 bulan lalu di,AC Kamar tidak dingin. Makanan yg dihidangkan saat itu Ikan Dori tapi bau dan tidak layak konsumsi. Nasi gorengnya juga keras.,-1,ac kamar dingin makan yg hidang ikan dor bau layak konsumsi nasi goreng keras
watchdoctor_indonesia,1,8 bulan lalu di,"parkir mobil susah, ada slot lobby tapi ditutup kerucut. Disuruh parkir basement yg sempit. Sering penuh dan disarankan security valet. Tidak semua orang nyaman kendaraannya di valet terutama jika membawa barang2 yang tidak bisa di bawa ke â¦",-1,parkir mobil susah slot lobby tutup kerucut suruh parkir basement yg sempit penuh saran security valet orang nyaman kendara valet bawa barang2 bawa 
muhammad arzha,1,sebulan lalu di,hotel terburuk yg pernah saya temui dengan pelayanan biasa aja,-1,hotel buruk yg temu layan aja
Terus Enak TV,1,setahun lalu di,"turun makan jam 7, ehh cuma kebagian bubur, soto, nasi putih, nasi goreng, sama omelet, ini hotel ngakunya bintang tiga lhoo, pelayanan kok sekelas hotel melatii. â¦",-1,turun makan jam 7 ehh bagi bubur soto nasi putih nasi goreng omelet hotel ngakunya bintang lhoo layan kelas hotel melati 
Fransisca Sugiarto,1,setahun lalu di,"Pesen 3 kmr lewat tr*v*l*k*, 1kmr yg twin bed, 2 kmr yg bed king size. Hrg kingsize lebih mahal 50rb, tapi yg saya dpt smua kmr twin bed. Taunya pas mau tidur bed bagian tgh agak keras. Setelah dibuka tryt smua kmr dikasih 2 single bed yg digabung jadi 1 doang ð. Sprei & kursi jg ada noda, lantai kamar tidak rata. â¦",-1,sen 3 kmr trvlk 1kmr yg twin bed 2 kmr yg bed king size hrg kingsize mahal 50rb yg dpt smua kmr twin bed tau pas tidur bed tgh keras buka tryt smua kmr kasih 2 single bed yg gabung 1 doang  sprei kursi jg noda lantai kamar 
afian mangoen,1,setahun lalu di,"booking via ag*d* 2 hari sebelum kedatangan, booking dikonfirmasi dengan baik, tiba-tiba sehari sebelum kedatangan di info oleh pihak ag*d* kalau pihak hotel menyatakan hotel ternyata fully booked dan saya diberikan hotel pengganti oleh â¦",-1,booking via agd 2 datang booking konfirmasi tibatiba hari datang info agd hotel hotel fully booked hotel ganti 
Faisal Ramadhan Budiono,1,setahun lalu di,"Gua digigit tungau dimari jirr.
Kemaren di kamar 111, tiap tidur gua gatel.
1 out of million deh. Gak recommended. â¦",-1,gua gigit tungau mari jirr kemaren kamar 111 tidur gua gatel 1 out of million deh gak recommended 
Firdian,1,4 tahun lalu di,"Sayang hotelnya merampas hak pengguna jalan kaki.
Pedestrian digunakan untuk parkir mobil tamu hotel.
Kok bisa ya Amdalnya keluar krn tidak mempunyai parkir mobil dan dilihat dari â¦",-1,sayang hotel rampas hak guna jalan kaki pedestrian parkir mobil tamu hotel ya amdalnya krn parkir mobil 
Lodewyk Axel,1,5 tahun lalu di,"Nginap saat sedang hotelnya sedang renovasi sangat tidak nyaman. Renovasi dilakukan tanpa batas waktu. Tidur malam bisa terbangun 2x (jam 1 dan 3 pagi), hanya gara2 bunyi ketok2 pengerjaan lantai.. Ampun deh... Kappoookk..",-1,nginap hotel renovasi nyaman renovasi batas tidur malam bangun 2x jam 1 3 pagi gara2 bunyi ketok2 kerja lantai ampun deh kappoookk
